"","state_name","state_abbrev","district_code","00s","10s"
"1","Alaska","AK",1,0.283,0.283
"2","Alabama","AL",1,0.367,0.562833333333333
"3","Alabama","AL",2,0.3342,0.4224
"4","Alabama","AL",3,0.359,0.359
"5","Alabama","AL",4,0.376,0.376
"6","Alabama","AL",5,0.245333333333333,0.646
"7","Alabama","AL",6,0.387,0.6334
"8","Alabama","AL",7,0.2946,0.393
"9","Arkansas","AR",1,0.3198,0.427
"10","Arkansas","AR",2,0.2964,0.4396
"11","Arkansas","AR",3,0.4076,0.354
"12","Arkansas","AR",4,0.201,0.5646
"13","Arizona","AZ",1,0.3306,0.1826
"14","Arizona","AZ",2,0.749,0.2294
"15","Arizona","AZ",3,0.7416,0.598
"16","Arizona","AZ",4,0.421,0.691
"17","Arizona","AZ",5,0.3616,0.7846
"18","Arizona","AZ",6,0.855,0.578
"19","Arizona","AZ",7,0.598,0.4434
"20","Arizona","AZ",8,0.1925,0.6725
"21","Arizona","AZ",9,NA,0.1784
"22","California","CA",1,0.395,0.532
"23","California","CA",2,0.551,0.428
"24","California","CA",3,0.4554,0.309
"25","California","CA",4,0.5946,0.708
"26","California","CA",5,0.4288,0.395
"27","California","CA",6,0.556,0.435
"28","California","CA",7,0.552,0.235
"29","California","CA",8,0.49,0.3548
"30","California","CA",9,0.681,0.263
"31","California","CA",10,0.308333333333333,0.34
"32","California","CA",11,0.3422,0.536
"33","California","CA",12,0.3785,0.49
"34","California","CA",13,0.631,0.681
"35","California","CA",14,0.381,0.381
"36","California","CA",15,0.529,0.366
"37","California","CA",16,0.402,0.192
"38","California","CA",17,0.455,0.5446
"39","California","CA",18,0.262,0.381
"40","California","CA",19,0.4484,0.402
"41","California","CA",20,0.1916,0.3644
"42","California","CA",21,0.45,0.2758
"43","California","CA",22,0.4214,0.45
"44","California","CA",23,0.389,0.455
"45","California","CA",24,0.402,0.335
"46","California","CA",25,0.396,0.378
"47","California","CA",26,0.478,0.287
"48","California","CA",27,0.343,0.488
"49","California","CA",28,0.404,0.35
"50","California","CA",29,0.35,0.385
"51","California","CA",30,0.473,0.343
"52","California","CA",31,0.512,0.3316
"53","California","CA",32,0.501333333333333,0.448
"54","California","CA",33,0.5416,0.3938
"55","California","CA",34,0.469,0.5455
"56","California","CA",35,0.655,0.3778
"57","California","CA",36,0.283333333333333,0.245
"58","California","CA",37,0.3885,0.584
"59","California","CA",38,0.448,0.508
"60","California","CA",39,0.508,0.5214
"61","California","CA",40,0.657,0.469
"62","California","CA",41,0.348,0.465
"63","California","CA",42,0.478,0.35
"64","California","CA",43,0.349,0.655
"65","California","CA",44,0.35,0.465
"66","California","CA",45,0.353,0.3972
"67","California","CA",46,0.626,0.3166
"68","California","CA",47,0.367,0.449
"69","California","CA",48,0.678666666666667,0.5136
"70","California","CA",49,0.5,0.4476
"71","California","CA",50,0.398333333333333,0.5312
"72","California","CA",51,0.652,0.401
"73","California","CA",52,0.4976,0.182
"74","California","CA",53,0.343,0.345
"75","Colorado","CO",1,0.431,0.431
"76","Colorado","CO",2,0.323,0.3192
"77","Colorado","CO",3,0.3346,0.52
"78","Colorado","CO",4,0.4658,0.6688
"79","Colorado","CO",5,0.6408,0.674
"80","Colorado","CO",6,0.6468,0.4056
"81","Colorado","CO",7,0.3784,0.282
"82","Connecticut","CT",1,0.397,0.397
"83","Connecticut","CT",2,0.2742,0.343
"84","Connecticut","CT",3,0.416,0.416
"85","Connecticut","CT",4,0.1742,0.242
"86","Connecticut","CT",5,0.2108,0.3342
"87","Delaware","DE",1,0.2344,0.3022
"88","Florida","FL",1,0.633,0.6264
"89","Florida","FL",2,0.2568,0.4718
"90","Florida","FL",3,0.429,0.6952
"91","Florida","FL",4,0.333,0.3876
"92","Florida","FL",5,0.3846,0.327
"93","Florida","FL",6,0.554,0.5634
"94","Florida","FL",7,0.453,0.2772
"95","Florida","FL",8,0.4502,0.527
"96","Florida","FL",9,0.3952,0.3708
"97","Florida","FL",10,0.325,0.4024
"98","Florida","FL",11,0.374,0.5016
"99","Florida","FL",12,0.4374,0.404
"100","Florida","FL",13,0.3974,0.242833333333333
"101","Florida","FL",14,0.565,0.438
"102","Florida","FL",15,0.4934,0.5302
"103","Florida","FL",16,0.3402,0.361
"104","Florida","FL",17,0.386,0.5448
"105","Florida","FL",18,0.244,0.3474
"106","Florida","FL",19,0.395,0.606166666666667
"107","Florida","FL",20,0.4008,0.580333333333333
"108","Florida","FL",21,0.2508,0.401
"109","Florida","FL",22,0.3162,0.401
"110","Florida","FL",23,0.564,0.42
"111","Florida","FL",24,0.5326,0.478
"112","Florida","FL",25,0.277,0.282
"113","Florida","FL",26,NA,0.2532
