"","state_abbrev","district_code","bioname_107","bioname_108","bioname_109","bioname_110","bioname_111","bioname_112","bioname_113","bioname_114","bioname_115","bioname_116","bioname_117","party_code_107","party_code_108","party_code_109","party_code_110","party_code_111","party_code_112","party_code_113","party_code_114","party_code_115","party_code_116","party_code_117","nominate_dim1_107","nominate_dim1_108","nominate_dim1_109","nominate_dim1_110","nominate_dim1_111","nominate_dim1_112","nominate_dim1_113","nominate_dim1_114","nominate_dim1_115","nominate_dim1_116","nominate_dim1_117"
"1","AL",1,"CALLAHAN, Herbert Leon (Sonny)","BONNER, Jr., Josiah Robins (Jo)","BONNER, Jr., Josiah Robins (Jo)","BONNER, Jr., Josiah Robins (Jo)","BONNER, Jr., Josiah Robins (Jo)","BONNER, Jr., Josiah Robins (Jo)","BONNER, Jr., Josiah Robins (Jo)","BYRNE, Bradley","BYRNE, Bradley","BYRNE, Bradley","CARL, Jerry L.",200,200,200,200,200,200,200,200,200,200,200,0.373,0.367,0.367,0.367,0.367,0.367,0.367,0.61,0.61,0.61,0.57
"2","AL",5,"CRAMER, Robert E. (Bud), Jr.","CRAMER, Robert E. (Bud), Jr.","CRAMER, Robert E. (Bud), Jr.","CRAMER, Robert E. (Bud), Jr.","GRIFFITH, Parker","BROOKS, Mo","BROOKS, Mo","BROOKS, Mo","BROOKS, Mo","BROOKS, Mo","BROOKS, Mo",100,100,100,100,100,200,200,200,200,200,200,-0.132,-0.132,-0.132,-0.132,-0.045,0.646,0.646,0.646,0.646,0.646,0.646
"3","AL",2,"EVERETT, Robert Terry","EVERETT, Robert Terry","EVERETT, Robert Terry","EVERETT, Robert Terry","BRIGHT, Bobby Neal, Sr.","ROBY, Martha","ROBY, Martha","ROBY, Martha","ROBY, Martha","ROBY, Martha","MOORE, Barry",200,200,200,200,100,200,200,200,200,200,200,0.414,0.414,0.414,0.414,0.067,0.362,0.362,0.362,0.362,0.362,0.664
"4","AL",6,"BACHUS, Spencer T., III","BACHUS, Spencer T., III","BACHUS, Spencer T., III","BACHUS, Spencer T., III","BACHUS, Spencer T., III","BACHUS, Spencer T., III","BACHUS, Spencer T., III","PALMER, Gary James","PALMER, Gary James","PALMER, Gary James","PALMER, Gary James",200,200,200,200,200,200,200,200,200,200,200,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.695,0.695,0.695,0.695
"5","AL",7,"HILLIARD, Earl Frederick","DAVIS, Artur","DAVIS, Artur","DAVIS, Artur","DAVIS, Artur","SEWELL, Terri","SEWELL, Terri","SEWELL, Terri","SEWELL, Terri","SEWELL, Terri","SEWELL, Terri",100,100,100,100,100,100,100,100,100,100,100,-0.555,-0.27,-0.27,-0.27,-0.27,-0.393,-0.393,-0.393,-0.393,-0.393,-0.393
"6","AL",3,"RILEY, Robert","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis","ROGERS, Mike Dennis",200,200,200,200,200,200,200,200,200,200,200,0.433,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359
"7","AL",4,"ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert","ADERHOLT, Robert",200,200,200,200,200,200,200,200,200,200,200,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"8","AK",1,"YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin","YOUNG, Donald Edwin",200,200,200,200,200,200,200,200,200,200,200,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
"9","AZ",3,"STUMP, Robert Lee","SHADEGG, John B.","SHADEGG, John B.","SHADEGG, John B.","SHADEGG, John B.","QUAYLE, Ben","GRIJALVA, Raúl M.","GRIJALVA, Raúl M.","GRIJALVA, Raúl M.","GRIJALVA, Raúl M.","GRIJALVA, Raúl M.",200,200,200,200,200,200,100,100,100,100,100,0.703,0.749,0.749,0.749,0.749,0.712,-0.598,-0.598,-0.598,-0.598,-0.598
"10","AZ",5,"KOLBE, James Thomas","HAYWORTH, John D., Jr.","HAYWORTH, John D., Jr.","MITCHELL, Harry E.","MITCHELL, Harry E.","SCHWEIKERT, David","SALMON, Matthew James","SALMON, Matthew James","BIGGS, Andrew S.","BIGGS, Andrew S.","BIGGS, Andrew S.",200,200,200,100,100,200,200,200,200,200,200,0.351,0.559,0.559,-0.056,-0.056,0.578,0.673,0.673,0.859,0.859,0.859
